1.349105	1.349105	E
2.301414	2.301414	E
3.491801	3.491801	E
4.787333	4.787333	E
6.077333	6.077333	E
7.496333	7.496333	E
8.861768	8.861768	E
10.148000	10.148000	E
11.595667	11.595667	E
12.986000	12.986000	E
14.362000	14.362000	E
15.666333	15.666333	E
17.214333	17.214333	E
18.404000	18.404000	E
19.522000	19.522000	E
20.898000	20.898000	E
22.073333	22.073333	E
23.334667	23.334667	E
24.510000	24.510000	E
25.757000	25.757000	E
27.233333	27.233333	E
28.308333	28.308333	E
29.442231	29.442231	E
30.487000	30.487000	E
